RED FLAG LIST,,,,,
(Dissemination Date: 17-Oct-2025 ),,,,,
(A red flag shall be activated in respect of listed Indian companies whenever the foreign investment is within 3% or less than 3% of the aggregate NRI/FPI limits or the sectoral cap.),,,,,
,,,,,
Overall / Sectoral Limit,,,,,
Sr No.,Issuer / Company Name,ISIN,ISIN Description,Security Type,Aggregate  Investment (%),Aggregate Permissible Limit (%),Available Investment Headroom (in terms of Quantity),Date when Red Flag was Activated,Listed on Stock Exchange*
,,,,,,,,,
,,,,,,,,,
Aggregate FPI Investment limit,,,,,
Sr No.,Issuer / Company Name,ISIN,ISIN Description,Security Type,Aggregate  Investment (%),Aggregate Permissible Limit (%),Available Investment Headroom (in terms of Quantity),Date when Red Flag was Activated,Listed on Stock Exchange*
,,,,,,,,,
NIL,,,,,,,,
,,,,,,,,,
Aggregate NRI (repatriable) Investment limit,,,,,
Sr No.,Issuer / Company Name,ISIN,ISIN Description,Security Type,Aggregate  Investment (%),Aggregate Permissible Limit (%),Available Investment Headroom (in terms of Quantity),Date when Red Flag was Activated,Listed on Stock Exchange*
1,ALL E TECHNOLOGIES LIMITED,INE0M2X01012,ALL E TECHNOLOGIES LIMITED EQ,Equity,8,10,403417,07-Aug-2025,NSE
2,ASIAN HOTELS (NORTH) LIMITED,INE363A01022,ASIAN HOTELS (NORTH) LIMITED EQ NEW F.V. RS.10/-,Equity,9.26,10,143535,28-Mar-2024,NSE/BSE
3,DHARANI SUGARS AND CHEMICALS LTD.,INE988C01014,DHARANI SUGARS & CHEMICALS LTD EQ,Equity,8.25,10,726414,06-Feb-2025,NSE/BSE
4,DYNAMATIC TECHNOLOGIES LIMITED,INE221B01012,DYNAMATIC TECHNOLOGIES LIMITED EQ,Equity,0.44,1,38122,06-Mar-2019,NSE/BSE
5,HEXA TRADEX LIMITED,INE750M01017,HEXA TRADEX LIMITED EQ,Equity,9.71,10,159404,15-Sep-2025,NSE/BSE
6,SALASAR EXTERIORS AND CONTOUR LIMITED,INE00Y701026,SALASAR EXTERIORS AND CONTOUR LIMITED EQ NEW FV RE.1/-,Equity,7.88,10,2182335,18-Oct-2022,NSE
7,SUMIT WOODS LIMITED,INE748Z01013,SUMIT WOODS LIMITED EQ,Equity,8.05,10,881807,31-Oct-2024,NSE
8,SUPREME INFRASTRUCTURE INDIA LIMITED,INE550H01011,SUPREME INFRASTRUCTURE INDIA LIMITED EQ,Equity,7.09,10,747944,12-Jun-2025,NSE/BSE
9,THOMAS SCOTT (INDIA) LIMITED,INE480M01011,THOMAS SCOTT (INDIA) LIMITED EQ,Equity,9.59,10,60667,03-Oct-2025,NSE/BSE
10,UFLEX LIMITED,INE516A01017,UFLEX LIMITED EQ,Equity,9.99,10,6339,23-May-2025,NSE/BSE
,,,,,,,,,
Notes :,,,,,,,,
,,,,,,,,,
,,,,,
