RED FLAG LIST,,,,,
(Dissemination Date: 13-Apr-2023 ),,,,,
(A red flag shall be activated in respect of listed Indian companies whenever the foreign investment is within 3% or less than 3% of the aggregate NRI/FPI limits or the sectoral cap.),,,,,
,,,,,
Overall / Sectoral Limit,,,,,
Sr No.,Issuer / Company Name,ISIN,ISIN Description,Security Type,Aggregate  Investment (%),Aggregate Permissible Limit (%),Available Investment Headroom (in terms of Quantity),Date when Red Flag was Activated,Listed on Stock Exchange*
,,,,,,,,
,,,,,,,,
Aggregate FPI Investment limit,,,,,
Sr No.,Issuer / Company Name,ISIN,ISIN Description,Security Type,Aggregate  Investment (%),Aggregate Permissible Limit (%),Available Investment Headroom (in terms of Quantity),Date when Red Flag was Activated,Listed on Stock Exchange*
,,,,,,,,
NIL,,,,,,,,
,,,,,,,,
Aggregate NRI (repatriable) Investment limit,,,,,
Sr No.,Issuer / Company Name,ISIN,ISIN Description,Security Type,Aggregate  Investment (%),Aggregate Permissible Limit (%),Available Investment Headroom (in terms of Quantity),Date when Red Flag was Activated,Listed on Stock Exchange*
1,AARVEE DENIMS AND EXPORTS LTD,INE273D01019,AARVEE DENIMS AND EXPORTS LIMITED EQ,Equity,7.356,10,620301,08-Oct-2018,NSE/BSE
2,ALL E TECHNOLOGIES LIMITED,INE0M2X01012,ALL E TECHNOLOGIES LIMITED EQ,Equity,8.52,10,299417,01-Mar-2023,NSE
3,ATN INTERNATIONAL LIMITED,INE803A01027,ATN INTERNATIONAL LIMITED EQ NEW FV RS.4/-,Equity,1.089,4,1148281,18-Oct-2019,NSE/BSE
4,DECCAN CEMENTS LIMITED,INE583C01021,DECCAN CEMENTS LIMITED EQ NEW FV RS. 5/-,Equity,7.58,10,339238,17-Mar-2022,NSE/BSE
5,DYNAMATIC TECHNOLOGIES LIMITED,INE221B01012,DYNAMATIC TECHNOLOGIES LIMITED EQ,Equity,0.3,1,47430,06-Mar-2019,NSE/BSE
6,EIH ASSOCIATED HOTELS LIMITED,INE276C01014,EIH ASSOCIATED HOTELS LIMITED EQ,Equity,22.354,24,501662,01-Jun-2018,NSE/BSE
7,NATIONAL STEEL & AGRO INDS LTD,INE088B01015,NATIONAL STEEL & AGRO INDS LTD EQ,Equity,9.529,10,209435,01-Jun-2018,NSE/BSE
8,PARTY CRUISERS LIMITED,INE06ZX01015,PARTY CRUISERS LTD EQ,Equity,8.64,10,76000,18-Oct-2022,NSE
9,SALASAR EXTERIORS AND CONTOUR LIMITED,INE00Y701018,SALASAR EXTERIORS AND CONTOUR LIMITED EQ,Equity,9.9,10,8586,18-Oct-2022,NSE
10,SHALIMAR PAINTS LIMITED,INE849C01026,SHALIMAR PAINTS LIMITED EQ NEW FV RS.2/-,Equity,9.541,10,398183,09-Jun-2022,NSE/BSE
11,SUNFLAG IRON & STEEL COMPANY LIMITED,INE947A01014,SUNFLAG IRON AND STEEL COMPANY LTD EQ,Equity,7.502,10,4501113,01-Jun-2018,NSE/BSE
12,SUPREME INFRASTRUCTURE INDIA LIMITED,INE550H01011,SUPREME INFRASTRUCTURE INDIA LTD EQ,Equity,7.49,10,644148,22-Dec-2020,NSE/BSE
13,THE DHARAMSI MORARJI CHEMICAL CO. LIMITED,INE505A01010,THE DHARAMSI MORARJI CHEMICAL CO. LIMITED EQ,Equity,21.438,24,638959,29-Aug-2018,BSE
14,UFLEX LIMITED,INE516A01017,UFLEX LIMITED EQ,Equity,8.117,10,1359784,11-Nov-2020,NSE/BSE
15,WINDSOR MACHINES LIMITED,INE052A01021,WINDSOR MACHINES LIMITED EQ NEW RS. 2/-,Equity,8.992,10,662391,01-Jun-2018,NSE/BSE
,,,,,,,,
Note :,,,,,,,,
* Information of Listed Companies as available from websites of respective Stock Exchanges viz.  NSE  BSE  MSEI & CSE,,,,,,,,
,,,,,,,,
,,,,,
