side,final_calls,correct,actual,precision,recall,f1,baseline_precision,baseline_recall,baseline_f1,f1_improvement_pp
ADD,65,39,65,0.6,0.6,0.6,0.6216216216216216,0.35384615384615387,0.4509803921568628,14.901960784313717
DELETE,17,7,15,0.4117647058823529,0.4666666666666667,0.43749999999999994,0.4117647058823529,0.4666666666666667,0.43749999999999994,0.0
