security_id,nse_symbol,reason
SEC001289,METROGLOBL,NO_USABLE_SHARES
SEC001297,MIIL,NO_USABLE_SHARES
SEC001299,MINALIND,NO_USABLE_SHARES
SEC001304,MKEXIM,NO_USABLE_SHARES
SEC001306,MLKFOOD,NO_USABLE_SHARES
SEC001310,MMWL,NO_USABLE_SHARES
SEC001315,MOHITE,NO_USABLE_SHARES
SEC001330,MPDL,NO_USABLE_SHARES
SEC001335,MSL,NO_USABLE_SHARES
SEC001343,MUKESHB,NO_USABLE_SHARES
SEC001354,MYSORPETRO,NO_USABLE_SHARES
SEC001368,NATIONSTD,NO_USABLE_SHARES
SEC001384,NEAGI,NO_USABLE_SHARES
SEC001404,NICCOPAR,NO_USABLE_SHARES
SEC001409,NILE,NO_USABLE_SHARES
SEC001416,NIRLON,NO_USABLE_SHARES
SEC001420,NITTAGELA,NO_USABLE_SHARES
SEC001428,NOVARTIND,NO_USABLE_SHARES
SEC001434,NTCIND,NO_USABLE_SHARES
SEC001445,ODYCORP,NO_USABLE_SHARES
SEC001455,ONEGLOBAL,NO_USABLE_SHARES
SEC001460,ONIXSOLAR,NO_USABLE_SHARES
SEC001463,OPTIFIN,NO_USABLE_SHARES
SEC001475,ORIRAIL,NO_USABLE_SHARES
SEC001484,PACIFICI,NO_USABLE_SHARES
SEC001491,PANCHMAHQ,NO_USABLE_SHARES
SEC001492,PANORAMA,NO_USABLE_SHARES
SEC001502,PARNAXLAB,NO_USABLE_SHARES
SEC001510,PBMPOLY,NO_USABLE_SHARES
SEC001517,PERMAGN,NO_USABLE_SHARES
SEC001529,PHOENXINTL,NO_USABLE_SHARES
SEC001545,PML,NO_USABLE_SHARES
SEC001555,POEL,NO_USABLE_SHARES
SEC001561,POLYSPIN,NO_USABLE_SHARES
SEC001574,PRAVEG,NO_USABLE_SHARES
SEC001579,PREMCO,NO_USABLE_SHARES
SEC001588,PRISMX,NO_USABLE_SHARES
SEC001610,QUINT,NO_USABLE_SHARES
