ticker,company_name,base_as_of,membership,reconstruction
DLF,DLF LTD,2/28/2023,MSCI India Standard (post-Feb-2023 review),Backtracked from INDA 2025-12-31 equities using official MSCI review changes + corporate-event reversals
DMART,AVENUE SUPERMARTS LTD,2/28/2023,MSCI India Standard (post-Feb-2023 review),Backtracked from INDA 2025-12-31 equities using official MSCI review changes + corporate-event reversals
DRREDDY,DR REDDYS LABORATORIES LTD,2/28/2023,MSCI India Standard (post-Feb-2023 review),Backtracked from INDA 2025-12-31 equities using official MSCI review changes + corporate-event reversals
EICHERMOT,EICHER MOTORS LTD,2/28/2023,MSCI India Standard (post-Feb-2023 review),Backtracked from INDA 2025-12-31 equities using official MSCI review changes + corporate-event reversals
GAIL,GAIL INDIA LTD,2/28/2023,MSCI India Standard (post-Feb-2023 review),Backtracked from INDA 2025-12-31 equities using official MSCI review changes + corporate-event reversals
GODREJCP,GODREJ CONSUMER PRODUCTS LTD,2/28/2023,MSCI India Standard (post-Feb-2023 review),Backtracked from INDA 2025-12-31 equities using official MSCI review changes + corporate-event reversals
GODREJPROP,GODREJ PROPERTIES LTD,2/28/2023,MSCI India Standard (post-Feb-2023 review),Backtracked from INDA 2025-12-31 equities using official MSCI review changes + corporate-event reversals
GRASIM,GRASIM INDUSTRIES LTD,2/28/2023,MSCI India Standard (post-Feb-2023 review),Backtracked from INDA 2025-12-31 equities using official MSCI review changes + corporate-event reversals
HAVELLS,HAVELLS INDIA LTD,2/28/2023,MSCI India Standard (post-Feb-2023 review),Backtracked from INDA 2025-12-31 equities using official MSCI review changes + corporate-event reversals
HCLTECH,HCL TECHNOLOGIES LTD,2/28/2023,MSCI India Standard (post-Feb-2023 review),Backtracked from INDA 2025-12-31 equities using official MSCI review changes + corporate-event reversals
HDFC,HOUSING DEVELOPMENT FINANCE CORP LTD,2/28/2023,MSCI India Standard (post-Feb-2023 review),Backtracked from INDA 2025-12-31 equities using official MSCI review changes + corporate-event reversals
HDFCLIFE,HDFC LIFE INSURANCE COMPANY LTD,2/28/2023,MSCI India Standard (post-Feb-2023 review),Backtracked from INDA 2025-12-31 equities using official MSCI review changes + corporate-event reversals
HEROMOTOCO,HERO MOTOCORP LTD,2/28/2023,MSCI India Standard (post-Feb-2023 review),Backtracked from INDA 2025-12-31 equities using official MSCI review changes + corporate-event reversals
HINDALCO,HINDALCO INDUSTRIES LTD,2/28/2023,MSCI India Standard (post-Feb-2023 review),Backtracked from INDA 2025-12-31 equities using official MSCI review changes + corporate-event reversals
HINDPETRO,HINDUSTAN PETROLEUM CORP LTD,2/28/2023,MSCI India Standard (post-Feb-2023 review),Backtracked from INDA 2025-12-31 equities using official MSCI review changes + corporate-event reversals
HINDUNILVR,HINDUSTAN UNILEVER LTD,2/28/2023,MSCI India Standard (post-Feb-2023 review),Backtracked from INDA 2025-12-31 equities using official MSCI review changes + corporate-event reversals
ICICIBANK,ICICI BANK LTD,2/28/2023,MSCI India Standard (post-Feb-2023 review),Backtracked from INDA 2025-12-31 equities using official MSCI review changes + corporate-event reversals
ICICIGI,ICICI LOMBARD GENERAL INSURANCE CO,2/28/2023,MSCI India Standard (post-Feb-2023 review),Backtracked from INDA 2025-12-31 equities using official MSCI review changes + corporate-event reversals
ICICIPRULI,ICICI PRUDENTIAL LIFE INSURANCE CO,2/28/2023,MSCI India Standard (post-Feb-2023 review),Backtracked from INDA 2025-12-31 equities using official MSCI review changes + corporate-event reversals
IGL,INDRAPRASTHA GAS LTD,2/28/2023,MSCI India Standard (post-Feb-2023 review),Backtracked from INDA 2025-12-31 equities using official MSCI review changes + corporate-event reversals
INDHOTEL,INDIAN HOTELS LTD,2/28/2023,MSCI India Standard (post-Feb-2023 review),Backtracked from INDA 2025-12-31 equities using official MSCI review changes + corporate-event reversals
INDIGO,INTERGLOBE AVIATION LTD,2/28/2023,MSCI India Standard (post-Feb-2023 review),Backtracked from INDA 2025-12-31 equities using official MSCI review changes + corporate-event reversals
INDUSTOWER,INDUS TOWERS LTD,2/28/2023,MSCI India Standard (post-Feb-2023 review),Backtracked from INDA 2025-12-31 equities using official MSCI review changes + corporate-event reversals
INFY,INFOSYS LTD,2/28/2023,MSCI India Standard (post-Feb-2023 review),Backtracked from INDA 2025-12-31 equities using official MSCI review changes + corporate-event reversals
IOC,INDIAN OIL CORP LTD,2/28/2023,MSCI India Standard (post-Feb-2023 review),Backtracked from INDA 2025-12-31 equities using official MSCI review changes + corporate-event reversals
IRCTC,INDIAN RAILWAY CATERING AND TOURIS,2/28/2023,MSCI India Standard (post-Feb-2023 review),Backtracked from INDA 2025-12-31 equities using official MSCI review changes + corporate-event reversals
ITC,ITC LTD,2/28/2023,MSCI India Standard (post-Feb-2023 review),Backtracked from INDA 2025-12-31 equities using official MSCI review changes + corporate-event reversals
JINDALSTEL,JINDAL STEEL LTD,2/28/2023,MSCI India Standard (post-Feb-2023 review),Backtracked from INDA 2025-12-31 equities using official MSCI review changes + corporate-event reversals
JSWSTEEL,JSW STEEL LTD,2/28/2023,MSCI India Standard (post-Feb-2023 review),Backtracked from INDA 2025-12-31 equities using official MSCI review changes + corporate-event reversals
JUBLFOOD,JUBILANT FOODWORKS LTD,2/28/2023,MSCI India Standard (post-Feb-2023 review),Backtracked from INDA 2025-12-31 equities using official MSCI review changes + corporate-event reversals
KOTAKBANK,KOTAK MAHINDRA BANK LTD,2/28/2023,MSCI India Standard (post-Feb-2023 review),Backtracked from INDA 2025-12-31 equities using official MSCI review changes + corporate-event reversals
LT,LARSEN AND TOUBRO LTD,2/28/2023,MSCI India Standard (post-Feb-2023 review),Backtracked from INDA 2025-12-31 equities using official MSCI review changes + corporate-event reversals
LTIM,LTIMINDTREE LTD,2/28/2023,MSCI India Standard (post-Feb-2023 review),Backtracked from INDA 2025-12-31 equities using official MSCI review changes + corporate-event reversals
LUPIN,LUPIN LTD,2/28/2023,MSCI India Standard (post-Feb-2023 review),Backtracked from INDA 2025-12-31 equities using official MSCI review changes + corporate-event reversals
M&M,MAHINDRA AND MAHINDRA LTD,2/28/2023,MSCI India Standard (post-Feb-2023 review),Backtracked from INDA 2025-12-31 equities using official MSCI review changes + corporate-event reversals
MARICO,MARICO LTD,2/28/2023,MSCI India Standard (post-Feb-2023 review),Backtracked from INDA 2025-12-31 equities using official MSCI review changes + corporate-event reversals
MARUTI,MARUTI SUZUKI INDIA LTD,2/28/2023,MSCI India Standard (post-Feb-2023 review),Backtracked from INDA 2025-12-31 equities using official MSCI review changes + corporate-event reversals
MOTHERSON,SAMVARDHANA MOTHERSON INTERNATIONA,2/28/2023,MSCI India Standard (post-Feb-2023 review),Backtracked from INDA 2025-12-31 equities using official MSCI review changes + corporate-event reversals
MPHASIS,MPHASIS LTD,2/28/2023,MSCI India Standard (post-Feb-2023 review),Backtracked from INDA 2025-12-31 equities using official MSCI review changes + corporate-event reversals
MRF,MRF LTD,2/28/2023,MSCI India Standard (post-Feb-2023 review),Backtracked from INDA 2025-12-31 equities using official MSCI review changes + corporate-event reversals
MUTHOOTFIN,MUTHOOT FINANCE LTD,2/28/2023,MSCI India Standard (post-Feb-2023 review),Backtracked from INDA 2025-12-31 equities using official MSCI review changes + corporate-event reversals
NAUKRI,INFO EDGE INDIA LTD,2/28/2023,MSCI India Standard (post-Feb-2023 review),Backtracked from INDA 2025-12-31 equities using official MSCI review changes + corporate-event reversals
NESTLEIND,NESTLE INDIA LTD,2/28/2023,MSCI India Standard (post-Feb-2023 review),Backtracked from INDA 2025-12-31 equities using official MSCI review changes + corporate-event reversals
